clipDocId,title,vendor,sku,houzzId,matchedBy,oldCategory,newCategory
YETIvsOBNSNsA8428sgO,Alaster Articulating Wall Light,Visual Comfort,RL 2170PN/BKE,,sku,,LightingBedding & Pillows
YzogFug1I5onRc85eTYX,New Town Large Sconce,Hubbardton Forge,,,title,,LightingBedding & Pillows
Z48o0DnHyUQlKnJqOpZW,Dorchester Double Backplate Swimg Arm,Circa Lighting ,CHD5102,,sku,,LightingBedding & Pillows
Z7ALHse3D1NyDbncotbu,Linear Lantern Chandelier,Elu,,,title,,LightingBedding & Pillows
Zt1g82xHyFpvFAiQJZCc,Naomi Volcano,Stroheim,,,title,,Fabric  + Trim
aZ58wylL72bTUHKoWtbx,ERDDIG DOUBLE ARM,Urban Electric,,,title,,LightingBedding & Pillows
alouette-chandelier,Alouette Chandelier,,,,title,,LightingBedding & Pillows
antasia-double-glass-1-light-sconce,Antasia Double Glass 1 Light Sconce,,,,title,,LightingBedding & Pillows
aperture-sconce,Aperture Sconce,,,,title,,LightingBedding & Pillows
available-in-natural-brass-rl-5162nb-l-visual-comfort,Available in Natural Brass RL 5162NB-L,Visual Comfort,RL 5162PN-L,,sku,,LightingBedding & Pillows
bNoGfpEVjsiNfQZgwpYp,Kennebunkport Cocktail Table,Somerset Bay,SB056,,sku,,Furniture
bTe7zlJYzpF64v48Qe1U,Manhattan,Concretti,,,title,,Hardware
bc0LoSxuNyGjTzwDEKoH,Midewin,McLaurin & Piercy,,,title,,Fabric  + Trim
belfair-large-double-sconce,Belfair Large Double Sconce,,,,title,,LightingBedding & Pillows
black-forest-ebony-somerset-bay,"Black Forest, Ebony",Somerset Bay,SB012,,sku,,Furniture & Upholstery
black-forest-or-ebony-somerset-bay,Black Forest or Ebony,Somerset Bay,SB056,,sku,,Furniture
block-leg-coffee-table-made-from-reclaim,Block Leg Coffee Table made from Reclaimed Pine,,,,title,,Furniture & Upholstery
bouy-glass-pendant,Bouy Glass Pendant,,,,title,,LightingBedding & Pillows
bouy-parchment-pendant,Bouy Parchment Pendant,,,,title,,LightingBedding & Pillows
bryant-sconce,Bryant Sconce,,,,title,,LightingBedding & Pillows
bulb-qty-1-regina-andrews,Bulb Qty: 1,Regina Andrews,Item: 16-1219WT,,sku,,LightingBedding & Pillows
bx72QE0oXBU8PaYg5T20,F&T - Napaoli vintage,Libeco,,,title,,Fabric  + Trim
cXQxfoqyS3SfqGEgpEu6,Leather strapped double sconce,Elu,,,title,,LightingBedding & Pillows
cZ6WandTPwKVIQUkM4YC,Danbury Hanging Pendant Large,Remains Lighting Company,,,title,,LightingBedding & Pillows
cannes-pendant,Cannes Pendant,,,,title,,LightingBedding & Pillows
carson-rod-pendant-12-width,"Carson Rod Pendant, 12"" Width",,,,title,,LightingBedding & Pillows
carson-sconce-12-width,"Carson Sconce, 12"" Width",,,,title,,LightingBedding & Pillows
chainmail-pendant,Chainmail Pendant,,,,title,,LightingBedding & Pillows
cmiDvQVZs7eEYhEFunAs,Flea Market Lantern,Visual Comfort,SK 2301AZ,,sku,,LightingBedding & Pillows
consessions-visual-comfort,Consessions,Visual Comfort,RL 5060BZ-WG,,sku,,LightingBedding & Pillows
cord-cover-included-requires-smaller-o-visual-comfort,Cord Cover Included | Requires Smaller Outlet Box,Visual Comfort,PT 2000BZ-S,,sku,,LightingBedding & Pillows
d6sVqRDayRwhxaoL11fH,Hudson Swing Arm,Circa Lighting ,,,title,,LightingBedding & Pillows
dUGmbzNHIcRIP83iGmN3,Bryant Sconce,Visual Comfort,,,title,,LightingBedding & Pillows
denim-black-drum-pendant,Denim Black drum Pendant,,,,title,,LightingBedding & Pillows
dfbqG3cBehKMNusFwh9V,Leather wall Sconce,Elu,,,title,,LightingBedding & Pillows
dhoUAw6Sd0fMqViNn5Gw,Alouette Chandelier,Arteriors,,,title,,LightingBedding & Pillows
double-chandelier,Double Chandelier,,,,title,,LightingBedding & Pillows
double-sconce,Double sconce,,,,title,,LightingBedding & Pillows
dresser-long-glass-rod-light,Dresser Long Glass Rod Light,,,,title,,LightingBedding & Pillows
drum-pendant,Drum Pendant,,,,title,,LightingBedding & Pillows
echo-sconce,Echo Sconce,,,,title,,LightingBedding & Pillows
elkins-double-sconce,Elkins Double Sconce,,,,title,,LightingBedding & Pillows
eloise-ceramic-pendant,Eloise Ceramic Pendant,,,,title,,LightingBedding & Pillows
eloise-ceramic-sconce,Eloise Ceramic Sconce,,,,title,,LightingBedding & Pillows
eoG4ivM9yoYt0Uk8latT,Avalon Gooseneck,Barn Electric,,,title,,LightingBedding & Pillows
ethos-large-led-sconce,Ethos Large LED Sconce,,,,title,,LightingBedding & Pillows
exterior-spj-lighting-inc,Exterior,SPJ Lighting Inc.,SPJ-MSL2-12,,sku,,LightingBedding & Pillows
fX9DlplEaq1XfD91R26B,Tapered Vintage Lantern,Elu,,,title,,LightingBedding & Pillows
fink-pendant,Fink Pendant,,,,title,,LightingBedding & Pillows
fisher-sconce-single,Fisher Sconce Single,,,,title,,LightingBedding & Pillows
fjbAePKwdjLOZmUuiQkG,Klara Coffee Table made from Reclaimed Pine,1st Dibs,,,title,,Furniture & Upholstery
fo6wuIixzp5l6BqPd6nX,Sonoma Storage Cabinet w/ Baskets,Bramble,26911,,sku,,Furniture & Upholstery
forge,Forge,,Base Item #303003,,sku,,LightingBedding & Pillows
frink-style-mirrored-reflector-footlight,Frink Style Mirrored Reflector Footlight Sconce,,,,title,,LightingBedding & Pillows
fvHjX5pvOCUJqJBbQR5P,04135 Navy,Trend,,,title,,Fabric  + Trim
gEvSAj565FJKcaAsKUlI,NEVA,SixPenny,,,title,,Furniture & Upholstery
gOIWS3Ju1pIQ4CJpb89j,New York,Concretti,,,title,,Appliances  & Plumbing
game-room-somerset-bay,Game room,Somerset Bay,SB110,,sku,,Furniture
game-room-visual-comfort,Game room,Visual Comfort,TOB 2023HAB/BZ,,sku,,LightingBedding & Pillows
glass-and-the-crown-is-antiqued-brass-an-early-electrics,glass and the crown is antiqued brass and steel.,Early Electrics,883847524562,,sku,,LightingBedding & Pillows
grain-drum-sconce,Grain Drum Sconce,,,,title,,LightingBedding & Pillows
hK3IULBRSDsEW2FfcFW5,Standen Stripe Linen,no vendor,FRL5233-01S,,sku,,Fabric  + Trim
hUUU6AJHLv6OFlhLanqf,"Touro Smart 60"" LED Ceiling Fan",Visual Comfort,3TOSM60BBSD,,sku,,LightingBedding & Pillows
hall-l2-visual-comfort,Hall L2,Visual Comfort,SK 2301AZ,,sku,,LightingBedding & Pillows
hardware,Hardware,,,,title,,Hardware
hazel-sconce,Hazel Sconce,,,,title,,LightingBedding & Pillows
henry-large-glass-shade-sconce,Henry Large Glass Shade Sconce,,,,title,,LightingBedding & Pillows
hgwqB3oxgWWCiBeKbvMw,5313 DRINA-THUNDER,Pindler & Pindler,,,title,,Fabric  + Trim
hoFiQoaAq8OcRdFp3Uqn,CLOVER HANG,Urban Electric,,,title,,LightingBedding & Pillows
iIHWYShSuV1qiKsPWhHH,Falmouth Chest,Somerset Bay,SB012,,sku,,Furniture & Upholstery
iTGqIj3cdJFBfl0bX50O,Garden Stripe,Zimmer & Rhodes,,,title,,Fabric  + Trim
iyGsGbqw4ZxoWhKcC4m4,DOUBLEBROOK PLAID Midnight RALPH LAUREN,Designers Guild (USA) Inc.,FRL5242,,sku,,Fabric  + Trim
iyRPuJqBbbbw0885UgZV,The Z5 Black Bamboo CC Pendant,Global LIghting,905-101-1-CC,,sku,,LightingBedding & Pillows
jonah-alabaster-sconce,Jonah Alabaster Sconce,,,,title,,LightingBedding & Pillows
kennebunkport-cocktail-table,Kennebunkport Cocktail Table,,,,title,,Furniture
klara-coffee-table-made-from-reclaimed-p,Klara Coffee Table made from Reclaimed Pine,,,,title,,Furniture & Upholstery
lOmoDS08BBGmtwcKMAOm,Summit Sconce,Hubbardton Forge,Base Item #202045,,sku,,LightingBedding & Pillows
lW9cOtC4cq47BtvWp7w4,ANTIQUE INSPIRED 30″ HIGH BACK FARM SINK CAST IRON,Watermark Fixtures,,,title,,Appliances  & Plumbing
lack-forest-ebony-vanilla-bean-somerset-bay,"lack Forest, Ebony, Vanilla Bean",Somerset Bay,SB061-B,,sku,,Furniture
laramie-stem-pendant-light,LARAMIE STEM PENDANT LIGHT,,,,title,,LightingBedding & Pillows
large-rec-glass-lantern-sconce,Large Rec Glass Lantern sconce,,,,title,,LightingBedding & Pillows
leather-strapped-double-sconce,Leather strapped double sconce,,,,title,,LightingBedding & Pillows
leather-strapped-drum-chandelier,Leather strapped drum chandelier,,,,title,,LightingBedding & Pillows
leather-wall-sconce,Leather wall Sconce,,,,title,,LightingBedding & Pillows
locations-and-intended-for-interior-use-arteriors,locations and intended for interior use.,Arteriors,44753,,sku,,LightingBedding & Pillows
m-tier-sconce,MÉTIER SCONCE,,,,title,,LightingBedding & Pillows
mDnwJNRr0fQ1p8NsDaC7,HIGHLAND CHECK - INDIGO,KRAVET,FD314.H10.0,,sku,,Fabric  + Trim
mVi0FxaKNxMKFhUOARXA,"38"" SInk & SPlash",Soapstone Sinks,,,title,,Appliances  & Plumbing
mbr-bath-arteriors,MBR & Bath,Arteriors,DK42043,,sku,,LightingBedding & Pillows
milk-glass-bath-sconce,Milk Glass Bath Sconce,,,,title,,LightingBedding & Pillows
mini-drum-pendant,Mini Drum Pendant,,,,title,,LightingBedding & Pillows
moP6rK6H4x8wvVsYB3jV,Bowery,Hudson Valley Lighting,3722-AOB,,sku,,LightingBedding & Pillows
n7tZ82CLVmwYRdLXDC8x,Saratoga Small Pendant,Hubbardton Forge,Base Item #104070,,sku,,LightingBedding & Pillows
nG7P1hkeyhfBubDxxUh0,Salon Sconce Large,Regina Andrews,Item: 15-1188ORB,,sku,,LightingBedding & Pillows
nYKxEOVBgJmZY63ZZoA7,Country I Pendant,Il Fanale,,,title,,LightingBedding & Pillows
new-town-sconce,New Town Sconce,,,,title,,LightingBedding & Pillows
nkgSUgXd8cDcObQnHBpm,Grain Drum Sconce,Ravenhill Studio,,,title,,LightingBedding & Pillows
nnzyCE3HgShIespkp9y8,Mini Drum Pendant,Elu,,,title,,LightingBedding & Pillows
nx6Tth76sQWta7PKeW2v,Classic Collection CL758C Runner,Safavieh,CL758C,,sku,,Floor Covering
nzz5Vd5m18FSz3EQ4n0R,5313 Drina Dusk,Pindler & Pindler,,,title,,Fabric  + Trim
o2QwTbU3yUfpJSYIbEyd,Modern Small Lantern,Visual Comfort,,,title,,LightingBedding & Pillows
oIVJS45KZ8sb3sJ7oBai,La Jolla Stripe 05,Fabricut,,,title,,Fabric  + Trim
ondrian-2-light-sconce-hubbardton,Ondrian 2 Light Sconce,Hubbardton,,,title,,LightingBedding & Pillows
pRNEuMySs4roSb1VipFs,CAMPION,Urban Electric,,,title,,LightingBedding & Pillows
pgsXSsb9BE3S10i1G9sU,Vela Sconce,Hubbardton Forge,Base Item #203330,,sku,,LightingBedding & Pillows
piaf-large-tail-sconce,Piaf Large Tail Sconce,,,,title,,LightingBedding & Pillows
piatto-medium-pendant,Piatto Medium Pendant,,,,title,,LightingBedding & Pillows
plumbing,plumbing,,,,title,,Appliances  & Plumbing
qKny00wjql78pqYQuvWQ,HOUE,Urban Electric,,,title,,LightingBedding & Pillows
qgbqc3sBjT4EVgMkcuCo,7334 DELUXE-TUSK,Pindler & Pindler,,,title,,Fabric  + Trim
qzKrVn1EzNP0xzwhqLdF,CHAMPEAUX PIVOTING FLUSHMOUNT,Restoration Hardware,,,title,,LightingBedding & Pillows
r0EtotbZ6PVGxRR51Iih,Bouy Glass Pendant,Elu,,,title,,LightingBedding & Pillows
rUhBDUMs7Y4MTybmUZXL,Saratoga Sconce,Hubbardton Forge,Base Item #204070,,sku,,LightingBedding & Pillows
rdDIqG5Mq8RxvdMqHVbN,ARIA Grande Ottoman,SixPenny,,,title,,Furniture & Upholstery
reed-double-sconce,Reed Double Sconce,,,,title,,LightingBedding & Pillows
riley-large-ring-chandelier,Riley Large Ring Chandelier,,,,title,,LightingBedding & Pillows
riley-medium-ring-chandelier,Riley Medium Ring Chandelier,,,,title,,LightingBedding & Pillows
rl-67-boom-arm-wall-lamp,RL 67 Boom Arm Wall Lamp,,,,title,,LightingBedding & Pillows
robertson-single-tier-chandelier,Robertson Single Tier Chandelier,,,,title,,LightingBedding & Pillows
saratoga-sconce,Saratoga Sconce,,,,title,,LightingBedding & Pillows
saratoga-small-pendant,Saratoga Small Pendant,,,,title,,LightingBedding & Pillows
selecta-long-sconce,Selecta Long Sconce,,,,title,,LightingBedding & Pillows
shade-details-6-x-10-x-7-circa-lighting,"Shade Details: 6"" x 10"" x 7""",Circa Lighting,CHD5102,,sku,,LightingBedding & Pillows
