clipDocId,title,vendor,sku,matchedBy,oldHouzzId,newHouzzId,oldImageHost,newImageOnFirebase,action
available-in-natural-brass-rl-5162nb-l-visual-comfort,Available in Natural Brass RL 5162NB-L,Visual Comfort,RL 5162PN-L,sku,,53036573,,true,houzzId+imageUrl
bNoGfpEVjsiNfQZgwpYp,Kennebunkport Cocktail Table,Somerset Bay,SB056,sku,,53032493,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
bTe7zlJYzpF64v48Qe1U,Manhattan,Concretti,,title,,33498350,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
bc0LoSxuNyGjTzwDEKoH,Midewin,McLaurin & Piercy,,title,,53373648,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
belfair-large-double-sconce,Belfair Large Double Sconce,,,title,,54703100,,true,houzzId+imageUrl
black-forest-ebony-somerset-bay,"Black Forest, Ebony",Somerset Bay,SB012,sku,,33494807,,true,houzzId+imageUrl
black-forest-or-ebony-somerset-bay,Black Forest or Ebony,Somerset Bay,SB056,sku,,53032493,,true,houzzId+imageUrl
block-leg-coffee-table-made-from-reclaim,Block Leg Coffee Table made from Reclaimed Pine,,,title,,53068302,,true,houzzId+imageUrl
bouy-glass-pendant,Bouy Glass Pendant,,,title,,54556128,,true,houzzId+imageUrl
bouy-parchment-pendant,Bouy Parchment Pendant,,,title,,54556397,,true,houzzId+imageUrl
bryant-sconce,Bryant Sconce,,,title,,33494030,,true,houzzId+imageUrl
bulb-qty-1-regina-andrews,Bulb Qty: 1,Regina Andrews,Item: 16-1219WT,sku,,54656799,,true,houzzId+imageUrl
bx72QE0oXBU8PaYg5T20,F&T - Napaoli vintage,Libeco,,title,,33496647,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
cXQxfoqyS3SfqGEgpEu6,Leather strapped double sconce,Elu,,title,,54721219,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
cZ6WandTPwKVIQUkM4YC,Danbury Hanging Pendant Large,Remains Lighting Company,,title,,54656639,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
cannes-pendant,Cannes Pendant,,,title,,54549437,,true,houzzId+imageUrl
carson-rod-pendant-12-width,"Carson Rod Pendant, 12"" Width",,,title,,54613179,,true,houzzId+imageUrl
carson-sconce-12-width,"Carson Sconce, 12"" Width",,,title,,54613127,,true,houzzId+imageUrl
chainmail-pendant,Chainmail Pendant,,,title,,33497785,,true,houzzId+imageUrl
cmiDvQVZs7eEYhEFunAs,Flea Market Lantern,Visual Comfort,SK 2301AZ,sku,,54657660,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
consessions-visual-comfort,Consessions,Visual Comfort,RL 5060BZ-WG,sku,,54549437,,true,houzzId+imageUrl
cord-cover-included-requires-smaller-o-visual-comfort,Cord Cover Included | Requires Smaller Outlet Box,Visual Comfort,PT 2000BZ-S,sku,,33494093,,true,houzzId+imageUrl
d6sVqRDayRwhxaoL11fH,Hudson Swing Arm,Circa Lighting ,,title,,33494540,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
dUGmbzNHIcRIP83iGmN3,Bryant Sconce,Visual Comfort,,title,,33494030,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
denim-black-drum-pendant,Denim Black drum Pendant,,,title,,54556358,,true,houzzId+imageUrl
dfbqG3cBehKMNusFwh9V,Leather wall Sconce,Elu,,title,,54556015,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
dhoUAw6Sd0fMqViNn5Gw,Alouette Chandelier,Arteriors,,title,,51986389,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
double-chandelier,Double Chandelier,,,title,,54545340,,true,houzzId+imageUrl
double-sconce,Double sconce,,,title,,54545394,,true,houzzId+imageUrl
dresser-long-glass-rod-light,Dresser Long Glass Rod Light,,,title,,54573708,,true,houzzId+imageUrl
drum-pendant,Drum Pendant,,,title,,54721227,,true,houzzId+imageUrl
echo-sconce,Echo Sconce,,,title,,54704007,,true,houzzId+imageUrl
elkins-double-sconce,Elkins Double Sconce,,,title,,54703172,,true,houzzId+imageUrl
eloise-ceramic-pendant,Eloise Ceramic Pendant,,,title,,54656799,,true,houzzId+imageUrl
eloise-ceramic-sconce,Eloise Ceramic Sconce,,,title,,54574461,,true,houzzId+imageUrl
eoG4ivM9yoYt0Uk8latT,Avalon Gooseneck,Barn Electric,,title,,53041908,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
ethos-large-led-sconce,Ethos Large LED Sconce,,,title,,54703898,,true,houzzId+imageUrl
exterior-spj-lighting-inc,Exterior,SPJ Lighting Inc.,SPJ-MSL2-12,sku,,33494013,,true,houzzId+imageUrl
fX9DlplEaq1XfD91R26B,Tapered Vintage Lantern,Elu,,title,,54546070,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
fink-pendant,Fink Pendant,,,title,,54556188,,true,houzzId+imageUrl
fisher-sconce-single,Fisher Sconce Single,,,title,,54574384,,true,houzzId+imageUrl
fjbAePKwdjLOZmUuiQkG,Klara Coffee Table made from Reclaimed Pine,1st Dibs,,title,,53068320,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
